Question Number,Question Text,Econ_StrongDisagree,Econ_Disagree,Econ_Agree,Econ_StrongAgree,Social_StrongDisagree,Social_Disagree,Social_Agree,Social_StrongAgree
48,"The businessperson and the manufacturer are more important than the writer and the artist.",0,0,0,0,-5,-3,0,2
49,"Mothers may have careers, but their first duty is to be homemakers.",0,0,0,0,-7,-5,0,2
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",0,0,0,0,7,5,0,-2
51,"Making peace with the establishment is an important aspect of maturity.",0,0,0,0,-6,-4,0,2
52,"Astrology accurately explains many things.",0,0,0,0,-7,-5,0,2
53,"You cannot be moral without being religious.",0,0,0,0,-6,-4,0,2
54,"Charity is better than social security as a means of helping the genuinely disadvantaged.",-9,-8,0,1,0,0,0,0
55,"Some people are naturally unlucky.",0,0,0,0,-7,-5,0,2
56,"It is important that my child's school instills religious values.",0,0,0,0,-6,-4,0,2
57,"Sex outside marriage is usually immoral.",0,0,0,0,-7,-6,0,2
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",0,0,0,0,7,6,0,-2
59,"Pornography, depicting consenting adults, should be legal for the adult population.",0,0,0,0,7,5,0,-2
60,"What goes on in a private bedroom between consenting adults is no business of the state.",0,0,0,0,8,6,0,-2
61,"No one can feel naturally homosexual.",0,0,0,0,-8,-6,0,2
62,"These days openness about sex has gone too far.",0,0,0,0,-6,-4,0,2
